ID,fldOrderNum,fldQuoteNum,fldFloorsFinishedYes,fldFloorsFinishedNo,fldWallProtectionYes,fldWallProtectionNo,fldObstructionsYes,fldObstructionNo,fldListObstructions,fldMasioniteYes,fldMasioniteNo,fldMasioniteSheets,fldMasioniteLocate,fldFreightElevYes,fldFreightElevNo,fldFreightElevFeet,fldFreightElevInch,fldPassangerElevYes,fldPassangerElevNo,fldPassangerElevFeet,fldPassangerElevInch,fldElevPaddingYes,fldElevPaddingNo,fldElevPaddingNum,fldElevLockedOffYes,fldElevLockedOffNo,fldElevKeysYes,fldElevKeysNo,fld1stFloorYes,fld1stFloorNo
505,85372,85500 flr1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
519,91741,86053,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
552,87696,88185,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
514,90165,90064 Rev1 Pahse II change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
510,89441,91195,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
511,89196,91195H,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
512,91186,91197,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
513,91340,91351,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
515,ANTHC 41 Stations,91394,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
516,ANTHC 41 Stations,91394 Rev 1 30 stations,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
517,91500,91524,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
518,91589,91594,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
521,91353,91938 Ideon,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
520,91353,91938 Main,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
522,91958,91963,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
523,91195,92015,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
524,91195,92016,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
525,91195,92020,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
526,91183,92027,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
527,92010,92028,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
528,92011,92031,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
529,91995,92070 1st floor,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
530,,92070 2nd Floor,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
531,92011,92093,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
532,92074,92232 Part One,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
533,92074,92232 USCG Bid part 2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
534,86745,92273 1st floor,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
536,76475,92273 1st floor exsisting,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
535,86457,92273 2nd floor,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
537,86475,92273 2nd floor exsisting,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
538,92074,92307 Ancillary,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
539,92163,92341,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
540,92339,92342,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
541,91995,92373,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
542,92369,92378,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
543,92630,92654,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
544,92456,92796,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
546,92751,92942,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
547,Wrangel,92977,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
551,93905,93942,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
554,94262,94262-SW_Approv,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
496,99999,99999,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
553,99999,999999,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
509,85689,99999rev1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
562,VA Fairbanks Add-on,Add-on 070822,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
584,2638042,ANC_MEPS_5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
585,2638042,ANC_MEPS_6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
586,2638042,ANC_MEPS_7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
